ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=3 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_react_generations.jsonl
  seed plan    fitness=   320.4 cityPop=  313 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1] +
  seed reactive fitness=   225.0 cityPop=  220 cell=(5, 4, 0) rolls=[305.0, 185.0, 185.0] +
it    2 [cross] + fit=   448.9 pop=  440 m=(0.00,0.00,0.14) cell=(0, 0, 1) | filled=3 best_pop=440 best_fit=449
it    3 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=440 best_fit=449
it    4 [mutat]   fit=     4.7 pop=    0 m=(0.00,0.00,0.06) cell=(0, 0, 0) | filled=3 best_pop=440 best_fit=449
it    1 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=440 best_fit=449
it    5 [cross]   fit=     2.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=440 best_fit=449
it    6 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=440 best_fit=449
it    7 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=3 best_pop=440 best_fit=449
it    9 [mutat] + fit=     4.0 pop=    0 m=(0.00,0.00,0.44) cell=(0, 0, 4) | filled=4 best_pop=440 best_fit=449
it    8 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   11 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   12 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   10 [mutat]   fit=     1.2 pop=    0 m=(0.01,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   13 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   14 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   16 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   15 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   17 [mutat]   fit=     1.2 pop=    0 m=(0.02,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   19 [cross]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   18 [mutat]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=4 best_pop=440 best_fit=449
it   20 [cross]   fit=     4.0 pop=    0 m=(0.00,0.00,0.44) cell=(0, 0, 4) | filled=4 best_pop=440 best_fit=449
